Date, flow
2100-06-29T00:00:00.000000000Z,14.6715121007
2100-06-30T00:00:00.000000000Z,13.9571498759
2100-07-01T00:00:00.000000000Z,13.277709299
2100-07-02T00:00:00.000000000Z,12.6314592765
2100-07-03T00:00:00.000000000Z,12.0167694439
2100-07-04T00:00:00.000000000Z,13.4073323049
2100-07-05T00:00:00.000000000Z,16.5068375217
2100-07-06T00:00:00.000000000Z,17.4128719656
2100-07-07T00:00:00.000000000Z,16.4865078395
2100-07-08T00:00:00.000000000Z,15.6706654364
2100-07-09T00:00:00.000000000Z,14.9056413997
2100-07-10T00:00:00.000000000Z,14.3021056526
2100-07-11T00:00:00.000000000Z,14.0981908026
2100-07-12T00:00:00.000000000Z,14.1903132839
2100-07-13T00:00:00.000000000Z,32.4928537443
2100-07-14T00:00:00.000000000Z,50.7188210548
2100-07-15T00:00:00.000000000Z,61.4306519704
2100-07-16T00:00:00.000000000Z,63.4872515762
2100-07-17T00:00:00.000000000Z,42.732176378
2100-07-18T00:00:00.000000000Z,28.4415048443
2100-07-19T00:00:00.000000000Z,25.4024310334
2100-07-20T00:00:00.000000000Z,24.4172689728
2100-07-21T00:00:00.000000000Z,24.5306095728
2100-07-22T00:00:00.000000000Z,24.753270525
2100-07-23T00:00:00.000000000Z,24.3731596447
2100-07-24T00:00:00.000000000Z,23.6962097649
2100-07-25T00:00:00.000000000Z,23.0764577845
2100-07-26T00:00:00.000000000Z,22.9992595831
2100-07-27T00:00:00.000000000Z,23.6616470808
2100-07-28T00:00:00.000000000Z,24.5009931412
2100-07-29T00:00:00.000000000Z,24.8579255666
2100-07-30T00:00:00.000000000Z,24.2714060684
2100-07-31T00:00:00.000000000Z,23.1266626193
2100-08-01T00:00:00.000000000Z,21.9917309766
2100-08-02T00:00:00.000000000Z,20.9187419037
2100-08-03T00:00:00.000000000Z,19.8991357246
2100-08-04T00:00:00.000000000Z,18.9295253142
2100-08-05T00:00:00.000000000Z,18.0073168058
2100-08-06T00:00:00.000000000Z,17.1301556019
2100-08-07T00:00:00.000000000Z,16.2958292742
2100-08-08T00:00:00.000000000Z,15.5022415946
2100-08-09T00:00:00.000000000Z,14.7474015361
2100-08-10T00:00:00.000000000Z,14.0294163549
2100-08-11T00:00:00.000000000Z,13.3464861118
2100-08-12T00:00:00.000000000Z,13.6088203594
2100-08-13T00:00:00.000000000Z,14.6758660879
2100-08-14T00:00:00.000000000Z,14.7514921684
2100-08-15T00:00:00.000000000Z,14.0008799916
2100-08-16T00:00:00.000000000Z,13.3134700947
2100-08-17T00:00:00.000000000Z,12.6673554427
2100-08-18T00:00:00.000000000Z,12.0563486505
2100-08-19T00:00:00.000000000Z,11.4724384508
2100-08-20T00:00:00.000000000Z,10.9142759611
2100-08-21T00:00:00.000000000Z,10.9410975606
2100-08-22T00:00:00.000000000Z,11.470848399
2100-08-23T00:00:00.000000000Z,11.4053641737
2100-08-24T00:00:00.000000000Z,10.8359890411
2100-08-25T00:00:00.000000000Z,10.3054951927
2100-08-26T00:00:00.000000000Z,9.8036282898
2100-08-27T00:00:00.000000000Z,9.3267791669
2100-08-28T00:00:00.000000000Z,9.1459866352
2100-08-29T00:00:00.000000000Z,9.2805533529
2100-08-30T00:00:00.000000000Z,9.1857523867
2100-08-31T00:00:00.000000000Z,9.6153978067
2100-09-01T00:00:00.000000000Z,10.729628751
2100-09-02T00:00:00.000000000Z,11.6751490619
2100-09-03T00:00:00.000000000Z,13.1858632219
2100-09-04T00:00:00.000000000Z,14.5296242125
2100-09-05T00:00:00.000000000Z,14.4157424782
2100-09-06T00:00:00.000000000Z,15.3841312321
2100-09-07T00:00:00.000000000Z,18.1971437966
2100-09-08T00:00:00.000000000Z,19.528071603
2100-09-09T00:00:00.000000000Z,18.9974593379
2100-09-10T00:00:00.000000000Z,18.1352032466
2100-09-11T00:00:00.000000000Z,17.2438616221
2100-09-12T00:00:00.000000000Z,16.608793659
2100-09-13T00:00:00.000000000Z,16.6095295775
2100-09-14T00:00:00.000000000Z,16.9880070257
2100-09-15T00:00:00.000000000Z,16.9217341836
2100-09-16T00:00:00.000000000Z,16.3332302651
2100-09-17T00:00:00.000000000Z,16.006741616
2100-09-18T00:00:00.000000000Z,16.1238613872
2100-09-19T00:00:00.000000000Z,15.9891104346
2100-09-20T00:00:00.000000000Z,15.5584256875
2100-09-21T00:00:00.000000000Z,15.2200484122
2100-09-22T00:00:00.000000000Z,14.7839136106
2100-09-23T00:00:00.000000000Z,14.5417524957
2100-09-24T00:00:00.000000000Z,22.8428936933
2100-09-25T00:00:00.000000000Z,32.0871878233
2100-09-26T00:00:00.000000000Z,27.7274306291
2100-09-27T00:00:00.000000000Z,23.3159339243
2100-09-28T00:00:00.000000000Z,30.2677688183
2100-09-29T00:00:00.000000000Z,32.0534765632
2100-09-30T00:00:00.000000000Z,23.1478059609
2100-10-01T00:00:00.000000000Z,17.4682119678
2100-10-02T00:00:00.000000000Z,16.0008189014
2100-10-03T00:00:00.000000000Z,15.1385906418
2100-10-04T00:00:00.000000000Z,14.3905173785
2100-10-05T00:00:00.000000000Z,13.6882651225
2100-10-06T00:00:00.000000000Z,13.0215834074
2100-10-07T00:00:00.000000000Z,12.3877198059
2100-10-08T00:00:00.000000000Z,11.7848817259
2100-10-09T00:00:00.000000000Z,11.2115045339
2100-10-10T00:00:00.000000000Z,10.7046119934
2100-10-11T00:00:00.000000000Z,10.5107891096
2100-10-12T00:00:00.000000000Z,14.7861663339
2100-10-13T00:00:00.000000000Z,17.9122802261
2100-10-14T00:00:00.000000000Z,26.0807573202
2100-10-15T00:00:00.000000000Z,31.6906537152
2100-10-16T00:00:00.000000000Z,22.8872206685
2100-10-17T00:00:00.000000000Z,16.5109731595
2100-10-18T00:00:00.000000000Z,14.1031246966
2100-10-19T00:00:00.000000000Z,17.3509758668
2100-10-20T00:00:00.000000000Z,29.9178132165
2100-10-21T00:00:00.000000000Z,35.6232050313
2100-10-22T00:00:00.000000000Z,26.6068501903
2100-10-23T00:00:00.000000000Z,23.9538131517
2100-10-24T00:00:00.000000000Z,25.4988319497
2100-10-25T00:00:00.000000000Z,19.2376211001
2100-10-26T00:00:00.000000000Z,14.5692891126
2100-10-27T00:00:00.000000000Z,16.3940135514
2100-10-28T00:00:00.000000000Z,20.7201118114
2100-10-29T00:00:00.000000000Z,19.8973689207
2100-10-30T00:00:00.000000000Z,17.8867452647
2100-10-31T00:00:00.000000000Z,17.273348602
2100-11-01T00:00:00.000000000Z,14.5129799069
2100-11-02T00:00:00.000000000Z,12.480021154
2100-11-03T00:00:00.000000000Z,11.7350037641
2100-11-04T00:00:00.000000000Z,12.3019351701
2100-11-05T00:00:00.000000000Z,12.7125917969
2100-11-06T00:00:00.000000000Z,11.3954997731
2100-11-07T00:00:00.000000000Z,10.2220807591
2100-11-08T00:00:00.000000000Z,9.6412003448
2100-11-09T00:00:00.000000000Z,9.1613932557
2100-11-10T00:00:00.000000000Z,8.7144052598
2100-11-11T00:00:00.000000000Z,8.2905312072
2100-11-12T00:00:00.000000000Z,7.8889439178
2100-11-13T00:00:00.000000000Z,7.5842805095
2100-11-14T00:00:00.000000000Z,31.1085192074
2100-11-15T00:00:00.000000000Z,52.2982725516
2100-11-16T00:00:00.000000000Z,45.808057733
2100-11-17T00:00:00.000000000Z,41.3965934219
2100-11-18T00:00:00.000000000Z,38.7049534802
2100-11-19T00:00:00.000000000Z,30.2121449528
2100-11-20T00:00:00.000000000Z,20.0505340095
2100-11-21T00:00:00.000000000Z,20.7107807109
2100-11-22T00:00:00.000000000Z,26.2271781254
2100-11-23T00:00:00.000000000Z,24.1315558022
2100-11-24T00:00:00.000000000Z,18.8150515206
2100-11-25T00:00:00.000000000Z,45.3333147917
2100-11-26T00:00:00.000000000Z,65.6696408644
2100-11-27T00:00:00.000000000Z,43.7030119081
2100-11-28T00:00:00.000000000Z,42.3648206596
2100-11-29T00:00:00.000000000Z,47.8147578471
2100-11-30T00:00:00.000000000Z,32.0741535043
2100-12-01T00:00:00.000000000Z,32.8973369988
2100-12-02T00:00:00.000000000Z,39.1004499693
2100-12-03T00:00:00.000000000Z,28.6462939403
2100-12-04T00:00:00.000000000Z,20.5918735454
2100-12-05T00:00:00.000000000Z,18.7222334746
2100-12-06T00:00:00.000000000Z,23.2296136426
2100-12-07T00:00:00.000000000Z,26.4402143426
2100-12-08T00:00:00.000000000Z,21.2448190639
2100-12-09T00:00:00.000000000Z,22.6089255383
2100-12-10T00:00:00.000000000Z,31.0921834259
2100-12-11T00:00:00.000000000Z,31.0666470988
2100-12-12T00:00:00.000000000Z,35.0070188274
2100-12-13T00:00:00.000000000Z,42.4617111821
2100-12-14T00:00:00.000000000Z,34.0900550005
2100-12-15T00:00:00.000000000Z,22.3389475425
2100-12-16T00:00:00.000000000Z,17.8178374046
2100-12-17T00:00:00.000000000Z,16.4852150783
2100-12-18T00:00:00.000000000Z,34.1942078536
2100-12-19T00:00:00.000000000Z,46.991195228
2100-12-20T00:00:00.000000000Z,36.1239880236
2100-12-21T00:00:00.000000000Z,28.9671221623
2100-12-22T00:00:00.000000000Z,24.2370222128
2100-12-23T00:00:00.000000000Z,19.5128154847
2100-12-24T00:00:00.000000000Z,17.0090343542
2100-12-25T00:00:00.000000000Z,16.2758721843
2100-12-26T00:00:00.000000000Z,33.6990483811
2100-12-27T00:00:00.000000000Z,45.8275499273
2100-12-28T00:00:00.000000000Z,31.1702932443
2100-12-29T00:00:00.000000000Z,19.729240967
2100-12-30T00:00:00.000000000Z,16.8526876377
2100-12-31T00:00:00.000000000Z,15.4956754705
2101-01-01T00:00:00.000000000Z,14.673200365
2101-01-02T00:00:00.000000000Z,13.9574722142
2101-01-03T00:00:00.000000000Z,13.280386298
2101-01-04T00:00:00.000000000Z,12.6335671844
2101-01-05T00:00:00.000000000Z,12.0186114735
2101-01-06T00:00:00.000000000Z,14.7484174997
2101-01-07T00:00:00.000000000Z,36.2703490717
2101-01-08T00:00:00.000000000Z,142.444868059
2101-01-09T00:00:00.000000000Z,269.016837577
2101-01-10T00:00:00.000000000Z,261.692030098
2101-01-11T00:00:00.000000000Z,187.887970459
2101-01-12T00:00:00.000000000Z,159.112027066
2101-01-13T00:00:00.000000000Z,163.890615492
2101-01-14T00:00:00.000000000Z,152.875517351
2101-01-15T00:00:00.000000000Z,110.078096475
2101-01-16T00:00:00.000000000Z,96.6942370259
2101-01-17T00:00:00.000000000Z,106.874246794
2101-01-18T00:00:00.000000000Z,84.7126908316
2101-01-19T00:00:00.000000000Z,54.6468796748
2101-01-20T00:00:00.000000000Z,38.4665655521
2101-01-21T00:00:00.000000000Z,28.6940758198
2101-01-22T00:00:00.000000000Z,22.6342266707
2101-01-23T00:00:00.000000000Z,21.1220902993
2101-01-24T00:00:00.000000000Z,20.2915819434
2101-01-25T00:00:00.000000000Z,69.907246033
2101-01-26T00:00:00.000000000Z,133.255023293
2101-01-27T00:00:00.000000000Z,125.352884613
2101-01-28T00:00:00.000000000Z,115.953767559
2101-01-29T00:00:00.000000000Z,128.277895557
2101-01-30T00:00:00.000000000Z,127.790850726
2101-01-31T00:00:00.000000000Z,123.812722091
2101-02-01T00:00:00.000000000Z,110.569447641
2101-02-02T00:00:00.000000000Z,89.0291479768
2101-02-03T00:00:00.000000000Z,82.1147105909
2101-02-04T00:00:00.000000000Z,79.1264646175
2101-02-05T00:00:00.000000000Z,72.768696035
2101-02-06T00:00:00.000000000Z,94.9686996712
2101-02-07T00:00:00.000000000Z,139.138538634
2101-02-08T00:00:00.000000000Z,160.189230863
2101-02-09T00:00:00.000000000Z,152.52563378
2101-02-10T00:00:00.000000000Z,133.613542458
2101-02-11T00:00:00.000000000Z,107.060987006
2101-02-12T00:00:00.000000000Z,81.0472192232
2101-02-13T00:00:00.000000000Z,60.9559772469
2101-02-14T00:00:00.000000000Z,47.0001546166
2101-02-15T00:00:00.000000000Z,38.3044914269
2101-02-16T00:00:00.000000000Z,32.5876855728
2101-02-17T00:00:00.000000000Z,28.6687255143
2101-02-18T00:00:00.000000000Z,36.1947024407
2101-02-19T00:00:00.000000000Z,45.1354652228
2101-02-20T00:00:00.000000000Z,65.8370688819
2101-02-21T00:00:00.000000000Z,110.358734014
2101-02-22T00:00:00.000000000Z,148.357130384
2101-02-23T00:00:00.000000000Z,151.68952444
2101-02-24T00:00:00.000000000Z,117.432680695
2101-02-25T00:00:00.000000000Z,91.2376384516
2101-02-26T00:00:00.000000000Z,82.4362553647
2101-02-27T00:00:00.000000000Z,74.2276828246
2101-02-28T00:00:00.000000000Z,67.7032706125
2101-03-01T00:00:00.000000000Z,56.1206175973
2101-03-02T00:00:00.000000000Z,53.3568845982
2101-03-03T00:00:00.000000000Z,56.814243536
2101-03-04T00:00:00.000000000Z,113.814751097
2101-03-05T00:00:00.000000000Z,186.757627118
2101-03-06T00:00:00.000000000Z,179.350414387
2101-03-07T00:00:00.000000000Z,144.466094073
2101-03-08T00:00:00.000000000Z,137.686268026
2101-03-09T00:00:00.000000000Z,145.606596314
2101-03-10T00:00:00.000000000Z,129.492453934
2101-03-11T00:00:00.000000000Z,97.7313310311
2101-03-12T00:00:00.000000000Z,75.5824245564
2101-03-13T00:00:00.000000000Z,61.4687838973
2101-03-14T00:00:00.000000000Z,52.1064033874
2101-03-15T00:00:00.000000000Z,45.8484823248
2101-03-16T00:00:00.000000000Z,41.377582151
2101-03-17T00:00:00.000000000Z,38.0065895027
2101-03-18T00:00:00.000000000Z,35.3422619083
2101-03-19T00:00:00.000000000Z,33.1396342021
2101-03-20T00:00:00.000000000Z,45.1047008807
2101-03-21T00:00:00.000000000Z,55.4715771457
2101-03-22T00:00:00.000000000Z,90.0433633624
2101-03-23T00:00:00.000000000Z,137.276488299
2101-03-24T00:00:00.000000000Z,121.490646004
2101-03-25T00:00:00.000000000Z,100.563688965
2101-03-26T00:00:00.000000000Z,114.460077025
2101-03-27T00:00:00.000000000Z,141.899667789
2101-03-28T00:00:00.000000000Z,182.509339206
2101-03-29T00:00:00.000000000Z,195.94925897
2101-03-30T00:00:00.000000000Z,179.015630176
2101-03-31T00:00:00.000000000Z,156.891220833
2101-04-01T00:00:00.000000000Z,122.60556578
2101-04-02T00:00:00.000000000Z,90.732700401
2101-04-03T00:00:00.000000000Z,72.0163384561
2101-04-04T00:00:00.000000000Z,60.0287215046
2101-04-05T00:00:00.000000000Z,51.9866415211
2101-04-06T00:00:00.000000000Z,46.3524965902
2101-04-07T00:00:00.000000000Z,51.7215378596
2101-04-08T00:00:00.000000000Z,97.6838671405
2101-04-09T00:00:00.000000000Z,166.745349386
2101-04-10T00:00:00.000000000Z,180.309795766
2101-04-11T00:00:00.000000000Z,137.18911073
2101-04-12T00:00:00.000000000Z,98.962091787
2101-04-13T00:00:00.000000000Z,78.1665153486
2101-04-14T00:00:00.000000000Z,124.333437173
2101-04-15T00:00:00.000000000Z,194.299856068
2101-04-16T00:00:00.000000000Z,180.781011405
2101-04-17T00:00:00.000000000Z,177.780539552
2101-04-18T00:00:00.000000000Z,202.076851627
2101-04-19T00:00:00.000000000Z,168.286367593
2101-04-20T00:00:00.000000000Z,119.183863262
2101-04-21T00:00:00.000000000Z,126.962704187
2101-04-22T00:00:00.000000000Z,154.100632382
2101-04-23T00:00:00.000000000Z,168.022071523
2101-04-24T00:00:00.000000000Z,176.30340666
2101-04-25T00:00:00.000000000Z,147.346081419
2101-04-26T00:00:00.000000000Z,107.87425539
2101-04-27T00:00:00.000000000Z,85.680816377
2101-04-28T00:00:00.000000000Z,71.6335633735
2101-04-29T00:00:00.000000000Z,62.3762275564
2101-04-30T00:00:00.000000000Z,56.5885322213
2101-05-01T00:00:00.000000000Z,52.8882475542
2101-05-02T00:00:00.000000000Z,49.5636792367
2101-05-03T00:00:00.000000000Z,46.429429194
2101-05-04T00:00:00.000000000Z,44.0116815563
2101-05-05T00:00:00.000000000Z,50.7628800371
