Name,Y,X,Type,Platform / Entrance,Line,Step Free,Description
Highbury and Islington,51.54502,-0.10752,Station,mainline platforms,London Overground and Victoria and Northern City,,
Highgate,51.57722,-0.14553,Station, ??,Northern,No,
Hillingdon,51.55364,-0.45062,Station,Platform,Metropolitan and Piccadilly,,
Holborn,51.51711,-0.12055,Station,Entrance,Central and Piccadilly,No,
Holland Park,51.50722,-0.20553,Station,Entrance,Central,,
Holloway Road,51.5529,-0.11278,Station,Entrance,Piccadilly,,
Homerton,51.5471,-0.04323,Station,mainline platforms,,,
Hornchurch,51.55387,0.21797,Station,platforms,District,,
Hounslow Central,51.47129,-0.365853,Station,Platform,Piccadilly,,
Hounslow East,51.47354,-0.356,Station,Platform,Piccadilly,,
Hounslow West,51.473689,-0.386471,Station,Platform (North End),Piccadilly,No,
Hyde Park Corner,51.50313,-0.15278,Station,at main entrance (on northern side of roundabout),Piccadilly,,
Ickenham,51.56147,-0.44257,Station,Platform,Metropolitan and Piccadilly,,
Kennington,51.48823,-0.10587,Station,Entrance,Northern,,
Kensal Green,51.53060655,-0.224253545,Station,Platform,Bakerloo,,
Kensal Rise,51.53387,-0.22145,Station,London Overground platforms,London Overground,,
Kensington (Olympia),51.49675,-0.20931,Station,platforms,District,Yes,
Kentish Town,51.55046,-0.14067,Station,entrance,Northern,No,
Kentish Town West,51.54776,-0.14708,Station,London Overground platforms,London Overground,,
Kenton,51.58173809,-0.316870809,Station,Platform,Bakerloo,,
Kew Gardens,51.47725641,-0.284980014,Station,Platform,District,,
Kilburn,51.5471715,-0.205002,Station,Platform,Jubilee,,
Kilburn Park,51.53495818,-0.193963023,Station,Entrance,Bakerloo,No,
King's Cross St.Pancras,51.53057,-0.12399,Station,between King's Cross exit and main tube entrance,Piccadilly and Circle and Victoria and Northern and Metropolitan and Hammersmith and City,No,
King's Cross Thameslink,51.5308,-0.12044,Station,Pentonville Road exit,Thameslink,No,
Kingsbury,51.58422,-0.2788,Station,Platform,Jubilee,,
Knightsbridge,51.50169,-0.1603,Station,Between Sloane Street and Knightsbridge entrances,Piccadilly,,
Ladbroke Grove,51.5173,-0.21114,Station,Platform,Hammersmith and City,No,
Lambeth North,51.49894,-0.11216,Station,Entrance,Bakerloo,,
Lancaster Gate,51.512083,-0.175067,Station,Entrance,Central,,
Latimer Road,51.513125,-0.218428,Station,Platform,Hammersmith and City,,
Leicester Square,51.51148,-0.12849,Station, ??,Northern and Piccadilly,,
Leyton,51.556483,-0.005669,Station,Entrance,Central,,
Leytonstone,51.56828,0.00739,Station,Entrance,Central,,
Liverpool Street,51.517675,-0.082458,Station, ??,Central,,
London Bridge,51.505353,-0.084826,Station,Mainline Through Platforms,Jubilee and Northern,,
Loughton,51.6417,0.05583,Station,platforms,Central,,
Maida Vale,51.52989409,-0.185888819,Station,Entrance,Bakerloo,,
Manor House,51.57038,-0.09601,Station,on top of ticket hall,Piccadilly,,
Mansion House,51.51256,-0.09397,Station,Queen Victoria Street entrance,Circle and District,,
Marble Arch,51.513597,-0.15869195,Station,Entrance,Central,,
Marylebone,51.52266,-0.162996,Station,Entrance,Bakerloo,No,
Mile End,51.525306,-0.033471,Station,Entrance,Central and District and Hammersmith and City,No,
Mill Hill East,51.60892,-0.20965,Station,Entrance,Northern,,
Monument,51.510165,-0.085991,Station,Entrance on Monument Street,Circle and District,,
Moor Park,51.62970512,-0.432070848,Station,Platform,Metropolitan,No,
Moorgate,51.51817,-0.08859,Station,By Moorfields entrance,Northern and Circle and Hammersmith and City and Metropolitan and Northern City and Thameslink,No,
Morden,51.40222413,-0.194599126,Station,Entrance,Northern,,
Mornington Crescent,51.53427,-0.13901,Station, ??,Northern,,
Neasden,51.55427,-0.25042,Station,Platform,Jubilee,No,
New Cross,51.477363,-0.0338817,Station,Mainline platform,East London,,
New Cross Gate,51.47585,-0.04049,Station,ELL platform,East London,,
Newbury Park,51.57565,0.08927,Station,platforms,Central,,
North Acton,51.5237,-0.26019,Station,Platform,Central,,
