Name,X,Y,Type,max_storage,min_storage,initialHead,elev,area,storCoeff,unitCost,linCoeff,Consumption,S_var,delivery_var,infeasQ_var,agBenefitsMon_var,urbBenefitsMon_var,COSBenefitsMon_var,gwPumpUnitCost_var,H_var,BC,IC,outflow,quadCoeff,Description
SRPR,1570,1495,surface_reservoir,TS/max_stor.csv,12.2,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRSCV,1594,1519,surface_reservoir,TS/max_stor.csv,37,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
SRTLB,1970,1895,outflow,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,TS/outflow.csv,,
SRTR,1582,1507,surface_reservoir,TS/max_stor.csv,11,,,,,,TS/lin_coeff.csv,,NULL,,NULL,,,NULL,,,TS/BC.csv,TS/IC.csv,,TS/quad_coeff.csv,
StBarbara,1966,1891,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
STOC,1508,1433,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
SWR,1378,1303,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
TRACY,1484,1409,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
UD2,1490,1415,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
UD3,1494,1419,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
UD4,1492,1417,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
UD5,1496,1421,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
UD6,1502,1427,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
UD8,1506,1431,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
UD9,1510,1435,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
WC,1478,1403,junction,,,,,,,,,,,,NULL,,,,,,TS/BC.csv,,,,
YUBA,1498,1423,urban,,,,,,,,TS/lin_coeff.csv,TS/consumption.csv,,NULL,NULL,,NULL,,,,TS/BC.csv,,,,
