Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
D550_PMPCC,D550,PMPCC,DEF_link,1,10000000,0,,,NULL,,
C309_D59,C309,D59,DEF_link,1,10000000,0,,,NULL,,
C309_OLDR,C309,OLDR,DEF_link,1,10000000,0,,,NULL,,
D59_TRACY,D59,TRACY,DEF_link,1,10000000,0,,,NULL,,
D59_BANKS,D59,BANKS,DEF_link,1,10000000,0,,,NULL,,
MS_C71,MS,C71,DEF_link,1,10000000,0,,,NULL,,
PMPCC_C70,PMPCC,C70,DEF_link,1,10000000,0,,,NULL,,
C70_C71,C70,C71,DEF_link,1,10000000,0,,,NULL,,
C71_CC,C71,CC,cost_link,1,10000000,0,,50000,NULL,NULL,
OLDR_C310,OLDR,C310,DEF_link,1,10000000,0,,,NULL,,
C310_C70,C310,C70,DEF_link,1,10000000,0,,,NULL,,
C310_LV,C310,LV,DEF_link,1,10000000,0,,,NULL,,
LV_SRLV,LV,SRLV,DEF_link,1,10000000,0,,,NULL,,
WC_C201,WC,C201,DEF_link,1,10000000,0,,,NULL,,
dum6_WC,dum6,WC,DEF_link,1,10000000,0,,,NULL,,
C201_SREB,C201,SREB,DEF_link,1,10000000,0,,,NULL,,
TRACY_D701,TRACY,D701,DEF_link,1,10000000,0,,,NULL,,
BANKS_D801,BANKS,D801,DEF_link,1,10000000,0,,,NULL,,
Redding_GW1,Redding,GW1,return_link,1,10000000,0,1,,NULL,,
UD2_GW2,UD2,GW2,return_link,1,10000000,0,1,,NULL,,
UD4_GW4,UD4,GW4,return_link,1,10000000,0,1,,NULL,,
UD3_GW3,UD3,GW3,return_link,1,10000000,0,1,,NULL,,
UD5_GW5,UD5,GW5,return_link,1,10000000,0,1,,NULL,,
YUBA_D37,YUBA,D37,return_link,1,10000000,0,1,,NULL,,
SAC_C8,SAC,C8,return_link,1,10000000,0,1,,NULL,,
UD6_GW6,UD6,GW6,return_link,1,10000000,0,1,,NULL,,
UD8_GW8,UD8,GW8,return_link,1,10000000,0,1,,NULL,,
STOC_C42,STOC,C42,return_link,1,10000000,0,1,,NULL,,
UD9_GW9,UD9,GW9,return_link,1,10000000,0,1,,NULL,,
