Name ,x,y,Location source,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
ExDO39a,526009,161377,Centre of zone,Water resource zone,,WRZ19A,SES,SUT,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SES Sutton
ExDO39b,528800,148586,Centre of zone,Water resource zone,,WRZ19B,SES,ESU,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,SES East Surrey
ExDO42,530087,185412,Centre of zone,Water resource zone,,WRZ22,TWU,LON,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.14,0.15,TW London
ExDO43,452978,198176,Centre of zone,Water resource zone,,WRZ23,TWU,SWX,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.11,0.15,TW SWOX
ExDO47,480757,202534,Centre of zone,Water resource zone,,WRZ24,TWU,SWA,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.17,0.2,TW SWA
ExDO48,454725,169156,Centre of zone,Water resource zone,,WRZ25,TWU,KEN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.2,0.2,TW Kennet Valley
ExDO49,478177,179813,Centre of zone,Water resource zone,,WRZ26,TWU,HEN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.44,0.45,TW Henley
ExDO50,502443,142252,Centre of zone,Water resource zone,,WRZ27,TWU,GUI,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.29,0.3,TW Guildford
ExDO51,499496,199465,Centre of zone,Water resource zone,,WRZ31,AFF,VW1,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,AF1
ExDO52,514990,203196,Centre of zone,Water resource zone,,WRZ32,AFF,VW2,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.18,0.2,AF2
ExDO53,523211,222746,Centre of zone,Water resource zone,,WRZ33,AFF,VW3,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,AF3
ExDO54,513758,186410,Centre of zone,Water resource zone,,WRZ34,AFF,VW4,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,AF4
ExDO55,552507,220191,Centre of zone,Water resource zone,,WRZ35,AFF,VW5,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.1,0.1,AF5
ExDO56,500875,163677,Centre of zone,Water resource zone,,WRZ36,AFF,VW6,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,1,0.22,0.25,AF6
ExDO01cj,441723,119799,Centre of zone,Water resource zone,,ExD001cj,SWS,TES,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Hants South Testwood (B513)
ExDO08,572829,120923,Centre of zone,Water resource zone,,ExDO08j,SWS,DAR,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Darwell exc Bewl transfers
ExDO11,573614,166241,Centre of zone,Water resource zone,,ExDO11j,SWS,BEL,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Belmont Junction (Y445)
ExDO13,569576,133044,Centre of zone,Water resource zone,,ExDO13j,SWS,BEW,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SWS Bewl 
ExDO39c,528800,148586,Centre of zone,Water resource zone,,ExDO39cj,SES,BBE,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SESW Bough Beech 
ExDO36,613552,147998,Centre of zone,Water resource zone,,ExDO36j,SEW,KIN,,NULL,,TS/timeseries_NODE_DO.csv,NULL,NULL,TS/timeseries_NODE_DI.csv,TS/timeseries_NODE_THR.csv,TS/timeseries_NODE_Loss.csv,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,SEW Kingston 
FS02,579734,162187,Centre of zone,Junction,,FS02,SWS,BUR,,NULL,,,NULL,NULL,,,,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,,,,Burham
