Name       ,Type,Capacity constant,Phase condition,Phase lag
Units      ,,Ml day^-1,,
25841.phase2,Phasing phase 2,,,
25842.phase1,Phasing phase 1,,,
25842.phase2,Phasing phase 2,,,
25843.phase1,Phasing phase 1,,,
25843.phase2,Phasing phase 2,,,
25844.phase1,Phasing phase 1,,,
25844.phase2,Phasing phase 2,,,
25845.phase1,Phasing phase 1,,,
25845.phase2,Phasing phase 2,,,
25846.phase1,Phasing phase 1,,,
25846.phase2,Phasing phase 2,,,
25847.phase1,Phasing phase 1,,,
25847.phase2,Phasing phase 2,,,
25848.phase1,Phasing phase 1,,,
25848.phase2,Phasing phase 2,,,
25849.phase1,Phasing phase 1,,,
25849.phase2,Phasing phase 2,,,
25851.phase1,Phasing phase 1,,,
25851.phase2,Phasing phase 2,,,
25854.phase1,Phasing phase 1,,,
25854.phase2,Phasing phase 2,,,
25855.phase1,Phasing phase 1,,,
25855.phase2,Phasing phase 2,,,
25856.phase1,Phasing phase 1,,,
25856.phase2,Phasing phase 2,,,
25857.phase1,Phasing phase 1,,,
25857.phase2,Phasing phase 2,,,
25858.phase1,Phasing phase 1,,,
25858.phase2,Phasing phase 2,,,
25859.phase1,Phasing phase 1,,,
25859.phase2,Phasing phase 2,,,
25861.phase1,Phasing phase 1,,,
25861.phase2,Phasing phase 2,,,
25862.phase1,Phasing phase 1,,,
25862.phase2,Phasing phase 2,,,
25864.phase1,Phasing phase 1,,,
25864.phase2,Phasing phase 2,,,
25865.phase1,Phasing phase 1,,,
25865.phase2,Phasing phase 2,,,
25877.phase1,Phasing phase 1,,,
25877.phase2,Phasing phase 2,,,
25878.phase1,Phasing phase 1,,,
25878.phase2,Phasing phase 2,,,
25885.phase1,Phasing phase 1,,,
25885.phase2,Phasing phase 2,,,
25886.phase1,Phasing phase 1,,,
25886.phase2,Phasing phase 2,,,
25887.phase1,Phasing phase 1,,,
25887.phase2,Phasing phase 2,,,
25888.phase1,Phasing phase 1,,,
25888.phase2,Phasing phase 2,,,
25889.phase1,Phasing phase 1,,,
25889.phase2,Phasing phase 2,,,
25890.phase1,Phasing phase 1,,,
25890.phase2,Phasing phase 2,,,
25891.phase1,Phasing phase 1,,,
25891.phase2,Phasing phase 2,,,
25892.phase1,Phasing phase 1,,,
25892.phase2,Phasing phase 2,,,
25893.phase1,Phasing phase 1,,,
25893.phase2,Phasing phase 2,,,
25894.phase1,Phasing phase 1,,,
25894.phase2,Phasing phase 2,,,
25895.phase1,Phasing phase 1,,,
25895.phase2,Phasing phase 2,,,
25896.phase1,Phasing phase 1,,,
25896.phase2,Phasing phase 2,,,
25897.phase1,Phasing phase 1,,,
25897.phase2,Phasing phase 2,,,
25898.phase1,Phasing phase 1,,,
25898.phase2,Phasing phase 2,,,
25899.phase1,Phasing phase 1,,,
25899.phase2,Phasing phase 2,,,
25900.phase1,Phasing phase 1,,,
25900.phase2,Phasing phase 2,,,
25901.phase1,Phasing phase 1,,,
25901.phase2,Phasing phase 2,,,
25902.phase1,Phasing phase 1,,,
25902.phase2,Phasing phase 2,,,
25903.phase1,Phasing phase 1,,,
25903.phase2,Phasing phase 2,,,
25908.phase1,Phasing phase 1,,,
25908.phase2,Phasing phase 2,,,
