Name ,x,y,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial_ cost,Financial cost spent,Financial vopex,Financial vopex spent,EnvSoc cost,EnvSoc cost spent,EnvSoc vopex,EnvSoc vopex spent,OneOff cost,OneOff cost spent,Carbon const,Carbon capital cost spent,Carbon fopex,Carbon fopex cost spent,Carbon vopex,Carbon vopex cost spent,OneOff carbon,OneOff carbon cost spent,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
Sop686_ph2b,462900,111800,Existing groundwater,PRT-EGW-PRT-0040,WRZ08,PRT,PRT,2016,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,2,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,432.63,NULL,0,NULL,0.12,NULL,,NULL,1,,,,Worlds End Maximise DO
Sop687_ph2b,444000,111200,existing surface water,PRT-ESW-PRT-0070,WRZ08,PRT,PRT,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,3.83,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,1402.58,NULL,0,NULL,0.2,NULL,,NULL,1,,,,River Itchen 10 Ml/d
Sop688_ph2b,444000,111200,existing surface water,PRT-ESW-PRT-0071,WRZ08,PRT,PRT,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,5.11,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,2940.82,NULL,0,NULL,0.2,NULL,,NULL,1,,,,River Itchen 20 Ml/d
Sop689_ph2b,444000,111200,existing surface water,PRT-ESW-PRT-0072,WRZ08,PRT,PRT,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,5.53,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,4574.26,NULL,0,NULL,0.2,NULL,,NULL,1,,,,River Itchen 30 Ml/d
Sop690_ph2b,471400,109700,Reservoir,PRT-RES-PRT-0010,WRZ08,PRT,PRT,2022,NULL,80,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,7.32,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,18559.65,NULL,0,NULL,0.02,NULL,,NULL,1,,,,R013 Havant Thicket A
Sop691_ph2b,468300,106100,Water treatment works,PRT-WTW-PRT-0020,WRZ08,PRT,PRT,2017,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,1.14,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,2985.92,NULL,0,NULL,0.09,NULL,,NULL,1,,,,Farlington Wash water recovery (a)
Sop692_ph2b,468300,106100,Water treatment works,PRT-WTW-PRT-0021,WRZ08,PRT,PRT,2017,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,1.14,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,3495.4,NULL,0,NULL,0.07,NULL,,NULL,1,,,,Farlington Washwater Recovery (b)
Sop693_ph2b,520700,152700,Aquifer storage and recovery,SES-ASR-ESU-0030,WRZ19B,SES,ESU,2027,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,18.98,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,2461.33,NULL,0,NULL,1.24,NULL,,NULL,1,,,,North Downs Unconfined Chalk AR
Sop694_ph2b,520700,152700,Aquifer storage and recovery,SES-ASR-ESU-0040,WRZ19B,SES,ESU,2027,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,20.22,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,1900.48,NULL,0,NULL,0.94,NULL,,NULL,1,,,,North Downs LGS ASR
Sop701_ph2b,516200,156300,Aquifer storage and recovery,SES-ASR-SUT-0090,WRZ19A,SES,SUT,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,14.22,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,304.03,NULL,0,NULL,0.81,NULL,,NULL,1,,,,North Downs Confined Chalk AR extension 1
Sop1000_ph2b,516200,156300,Aquifer storage and recovery,SES-ASR-SUT-0091,WRZ19A,SES,SUT,2023,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,14.22,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,216.11,NULL,0,NULL,0.81,NULL,,NULL,1,,,,North Downs Confined Chalk AR extension 2
Sop695_ph2b,539900,154000,Existing groundwater,SES-EGW-ESU-0070,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,14.5,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,81.61,NULL,0,NULL,0.67,NULL,,NULL,1,,,,Enhance borehole output (Lower Greensand) - increase in pump capacity & pesticide treatment at Source 35
Sop696_ph2b,524100,151400,Existing groundwater,SES-EGW-ESU-0080,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,18.2,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,410.24,NULL,0,NULL,0.79,NULL,,NULL,1,,,,Upgrade WTW (Lower Greensand) - ammonia and pesticide treatment at Source 25
Sop1001_ph2b,537000,152500,Existing groundwater,SES-EGW-ESU-0110,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,16.19,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,603.76,NULL,0,NULL,0.77,NULL,,NULL,1,,,,Replacement borehole at Source 34
Sop1002_ph2b,537000,152500,Existing groundwater,SES-EGW-ESU-0120,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,16.98,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,185.88,NULL,0,NULL,0.82,NULL,,NULL,1,,,,Hydrogen sulphide treatment at Source 34
Sop1003_ph2b,537000,152500,Existing groundwater,SES-EGW-ESU-0130,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,25.23,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,90.92,NULL,0,NULL,1.32,NULL,,NULL,1,,,,Refurbishment of and UV treatment at Source 38
Sop1004_ph2b,526009,161377,Existing groundwater,SES-EGW-ESU-0170,WRZ19A,SES,SUT,2020,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,12.67,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,92.81,NULL,0,NULL,0.8,NULL,,NULL,1,,,,Lowering pumps at Sources 17 and 18
Sop1005_ph2b,526009,161377,Existing groundwater,SES-EGW-SUT-0100,WRZ19A,SES,SUT,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,12.7,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,19.92,NULL,0,NULL,0.8,NULL,,NULL,1,,,,Pump capacity increase at Source 40
Sop697_ph2b,515700,156200,New groundwater,SES-NGW-ESU-0050,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,13.38,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,351.54,NULL,0,NULL,0.61,NULL,,NULL,1,,,,New borehole (Mole Valley Chalk) - at Source 20
Sop698_ph2b,537000,152500,New groundwater,SES-NGW-ESU-0060,WRZ19B,SES,ESU,2018,NULL,60,Array_Node_DO.csv,NULL,NULL,,,,Array_Node_Financial_Cost.csv,NULL,14.5,NULL,Array_Node_EnvSoc_Cost.csv,NULL,0,NULL,Array_Node_OneOff_Cost.csv,NULL,828.08,NULL,0,NULL,0.77,NULL,,NULL,1,,,,New borehole (Lower Greensand) - mains connection at Source 39
