,,NYAA,DYAA,DYCP,MDO
Sop833_ph2b,4,10,10,15,10
Sop827_ph2b,4,1.4,1.4,1.4,1.4
Sop855_ph2b,4,1.48,1.48,1.48,1.48
Sop1083_ph2b,4,8,8,10,8
Sop853_ph2b,4,0.95,0.95,0.95,0.95
Sop875_ph2b,4,0,0,3.5,0
Sop828_ph2b,4,1.74,1.74,1.82,1.74
Sop874_ph2b,4,0,0,9.3,0
Sop826_ph2b,4,2,2,2,2
Sop856_ph2b,4,1.5,1.5,1.5,1.5
Sop845_ph2b,4,15,15,15,15
Sop844_ph2b,4,50,50,50,50
Sop842_ph2b,4,150,150,150,150
Sop843_ph2b,4,100,100,100,100
Sop1090_ph2b,4,75,75,75,75
Sop889_ph2b,4,4,4,4,4
Sop3032_ph2b,4,55,55,55,55
Sop1112_ph2b,4,5,5,5,5
Sop864_ph2b,4,17,17,0,17
Sop1170_ph2b,4,1.5,1.5,4.5,1.5
Sop840_ph2b,4,1.5,1.5,1.5,1.5
Sop873_ph2b,4,3,3,7,3
Sop822_ph2b,4,1.5,1.5,4.5,1.5
Sop837_ph2b,4,1.5,1.5,1.5,1.5
Sop839_ph2b,4,5,5,5,5
Sop838_ph2b,4,5,5,5,5
Sop3033_ph2b,4,5,5,5,5
Sop3034_ph2b,4,6,6,6,6
Sop3035_ph2b,4,8,8,8,8
Sop836_ph2b,4,19,19,19,19
Sop835_ph2b,4,5,5,5,5
Sop1066_ph2b,4,2,2,2,2
Sop883_ph2b,4,3.1,3.1,9.5,3.1
Sop3036_ph2b,4,3.75,3.75,3.75,3.75
Sop3037_ph2b,4,1.25,1.25,1.25,1.25
Sop3040_ph2b,4,0,1,3,1
Sop3041_ph2b,4,2.86,2.47,6,2.47
Sop3042_ph2b,4,1.99,1.89,2.83,1.89
Sop3043_ph2b,4,1.52,1.43,2.24,1.43
Sop3044_ph2b,4,5.2,4.98,7,4.98
Sop3045_ph2b,4,8.3,8.3,8.3,8.3
Sop3046_ph2b,4,8.22,8.22,8.74,8.22
WEF410_ph2b,4,0.694,0.704,0.714,0.714
WEF411_ph2b,4,0.694,0.704,0.714,0.714
WEF412_ph2b,4,0.694,0.704,0.714,0.714
WEF393_ph2b,4,0.058,0.058,0.061,0.061
WEF394_ph2b,4,0.061,0.061,0.064,0.064
WEF395_ph2b,4,0.064,0.064,0.067,0.067
WEF405_ph2b,4,0.33,0.336,0.342,0.342
WEF406_ph2b,4,0.347,0.349,0.36,0.36
WEF407_ph2b,4,0.364,0.365,0.377,0.377
WEF413_ph2b,4,0.757,0.761,0.761,0.754
WEF409_ph2b,4,0.692,0.692,0.692,0.692
WEF408_ph2b,4,0.632,0.632,0.632,0.632
WEF414_ph2b,4,0.757,0.772,0.772,0.788
WEF415_ph2b,4,0.783,0.799,0.799,0.815
WEF416_ph2b,4,0.807,0.823,0.823,0.84
WEF398_ph2b,4,0.089,0.089,0.089,0.089
WEF397_ph2b,4,0.08,0.08,0.08,0.08
WEF396_ph2b,4,0.072,0.072,0.072,0.072
WEF399_ph2b,4,0.189,0.189,0.189,0.189
WEF400_ph2b,4,0.189,0.189,0.189,0.189
WEF401_ph2b,4,0.189,0.189,0.189,0.189
WEF402_ph2b,4,0.302,0.302,0.302,0.302
WEF403_ph2b,4,0.302,0.302,0.302,0.302
WEF404_ph2b,4,0.302,0.302,0.302,0.302
WEF417_ph2b,4,1.408,1.42,1.42,1.431
WEF418_ph2b,4,1.449,1.46,1.46,1.473
WEF419_ph2b,4,1.486,1.498,1.498,1.511
MET299_ph2b,4,0.16,0.16,0.192,0.192
MET300_ph2b,4,0.16,0.16,0.192,0.192
MET301_ph2b,4,0.16,0.16,0.192,0.192
MET314_ph2b,4,2.7,2.9,4.2,4.2
MET311_ph2b,4,2.1,2.2,3.3,3.3
MET308_ph2b,4,1.6,1.7,2.5,2.5
MET313_ph2b,4,2.9,3.1,4.6,4.6
MET310_ph2b,4,2.5,2.6,3.8,3.8
MET306_ph2b,4,2.1,2.2,3.2,3.2
MET302_ph2b,4,5.6,5.9,8.7,8.7
MET303_ph2b,4,4.3,4.6,6.7,6.7
MET298_ph2b,4,3.2,3.4,5.2,5.2
MET315_ph2b,4,5.7,5.7,8.1,8.1
MET312_ph2b,4,4.4,4.5,6.3,6.3
MET309_ph2b,4,3.3,3.3,4.8,4.8
MET307_ph2b,4,5.2,5.2,7.3,7.3
MET305_ph2b,4,4,4.1,5.7,5.7
MET304_ph2b,4,3,3,4.3,4.3
WEF1307_ph2b,4,0.093268413,0.093268413,0.093268413,0.093268413
WEF1311_ph2b,4,0.409216376,0.409216376,0.409216376,0.409216376
WEF1309_ph2b,4,0.168234187,0.168234187,0.168234187,0.168234187
WEF1310_ph2b,4,0.2137577,0.2137577,0.2137577,0.2137577
WEF1312_ph2b,4,0.120921968,0.120921968,0.120921968,0.120921968
WEF1313_ph2b,4,0.42111499,0.42111499,0.42111499,0.42111499
WEF1314_ph2b,4,0.232497707,0.232497707,0.232497707,0.232497707
WEF1315_ph2b,4,0.295410678,0.295410678,0.295410678,0.295410678
WEF1316_ph2b,4,0.200038827,0.200038827,0.200038827,0.200038827
WEF1317_ph2b,4,0.42111499,0.42111499,0.42111499,0.42111499
WEF1318_ph2b,4,0.034304392,0.034304392,0.034304392,0.034304392
