timeseriesdescription,,,A,B,C,D
ExDO07,01/04/2017 00:00,4,24.42650234,29.84719983,24.42650234,24.42650234
ExDO07,01/04/2018 00:00,4,24.4447724,29.86952436,24.4447724,24.4447724
ExDO07,01/04/2019 00:00,4,24.47798612,29.91010883,24.47798612,24.47798612
ExDO07,01/04/2020 00:00,4,24.53387512,29.97840063,24.53387512,24.53387512
ExDO07,01/04/2021 00:00,4,24.59132495,30.04859966,24.59132495,24.59132495
ExDO07,01/04/2022 00:00,4,24.65555639,30.12708526,24.65555639,24.65555639
ExDO07,01/04/2023 00:00,4,24.71292915,30.1971901,24.71292915,24.71292915
ExDO07,01/04/2024 00:00,4,24.78375526,30.28373385,24.78375526,24.78375526
ExDO07,01/04/2025 00:00,4,24.85280678,30.3681092,24.85280678,24.85280678
ExDO07,01/04/2026 00:00,4,24.9264574,30.45810427,24.9264574,24.9264574
ExDO07,01/04/2027 00:00,4,25.00699758,30.55651781,25.00699758,25.00699758
ExDO07,01/04/2028 00:00,4,25.08771452,30.65514736,25.08771452,25.08771452
ExDO07,01/04/2029 00:00,4,25.17641789,30.76353566,25.17641789,25.17641789
ExDO07,01/04/2030 00:00,4,25.26286819,30.8691709,25.26286819,25.26286819
ExDO07,01/04/2031 00:00,4,25.35744412,30.984735,25.35744412,25.35744412
ExDO07,01/04/2032 00:00,4,25.44359024,31.08999855,25.44359024,25.44359024
ExDO07,01/04/2033 00:00,4,25.54496566,31.21387107,25.54496566,25.54496566
ExDO07,01/04/2034 00:00,4,25.64937156,31.3414466,25.64937156,25.64937156
ExDO07,01/04/2035 00:00,4,25.74407209,31.45716294,25.74407209,25.74407209
ExDO07,01/04/2036 00:00,4,25.85116487,31.58802161,25.85116487,25.85116487
ExDO07,01/04/2037 00:00,4,25.95875093,31.71948302,25.95875093,25.95875093
ExDO07,01/04/2038 00:00,4,26.06807255,31.85306516,26.06807255,26.06807255
ExDO07,01/04/2039 00:00,4,26.17326748,31.98160481,26.17326748,26.17326748
ExDO12,01/04/2011 12:11,4,125.325147,152.3784785,125.325147,125.325147
ExDO12,01/04/2012 00:00,4,121.5613284,147.8021826,121.5613284,121.5613284
ExDO12,01/04/2013 00:00,4,119.3565698,145.1214935,119.3565698,119.3565698
ExDO12,01/04/2014 00:00,4,117.2350892,142.5420592,117.2350892,117.2350892
ExDO12,01/04/2015 00:00,4,115.419473,140.3345147,115.419473,115.419473
ExDO12,01/04/2016 00:00,4,115.5115652,140.4464864,115.5115652,115.5115652
ExDO12,01/04/2017 00:00,4,115.7803439,140.773285,115.7803439,115.7803439
ExDO12,01/04/2018 00:00,4,116.1576938,141.2320916,116.1576938,116.1576938
ExDO12,01/04/2019 00:00,4,116.6232176,141.7981058,116.6232176,116.6232176
ExDO12,01/04/2020 00:00,4,117.1186077,142.4004333,117.1186077,117.1186077
ExDO12,01/04/2021 00:00,4,117.6239725,143.0148888,117.6239725,117.6239725
ExDO12,01/04/2022 00:00,4,118.1170624,143.6144196,118.1170624,118.1170624
ExDO12,01/04/2023 00:00,4,118.6287762,144.2365946,118.6287762,118.6287762
ExDO12,01/04/2024 00:00,4,119.1375007,144.8551349,119.1375007,119.1375007
ExDO12,01/04/2025 00:00,4,119.6606926,145.4912657,119.6606926,119.6606926
ExDO12,01/04/2026 00:00,4,120.1878231,146.1321854,120.1878231,120.1878231
ExDO12,01/04/2027 00:00,4,120.7304345,146.7919277,120.7304345,120.7304345
ExDO12,01/04/2028 00:00,4,121.2777298,147.457365,121.2777298,121.2777298
ExDO12,01/04/2029 00:00,4,121.8409358,148.1421475,121.8409358,121.8409358
ExDO12,01/04/2030 00:00,4,122.4065036,148.8298017,122.4065036,122.4065036
ExDO12,01/04/2031 00:00,4,122.9940144,149.5441355,122.9940144,122.9940144
ExDO12,01/04/2032 00:00,4,123.5698523,150.2442768,123.5698523,123.5698523
ExDO12,01/04/2033 00:00,4,124.1726946,150.9772517,124.1726946,124.1726946
ExDO12,01/04/2034 00:00,4,124.7854668,151.7223002,124.7854668,124.7854668
ExDO12,01/04/2035 00:00,4,125.4062975,152.4771465,125.4062975,125.4062975
ExDO12,01/04/2036 00:00,4,126.0089023,153.2098327,126.0089023,126.0089023
ExDO12,01/04/2037 00:00,4,126.6024615,153.9315206,126.6024615,126.6024615
ExDO12,01/04/2038 00:00,4,127.1385608,154.5833451,127.1385608,127.1385608
ExDO12,01/04/2039 00:00,4,127.6823455,155.2445139,127.6823455,127.6823455
ExDO17,01/04/2011 12:11,4,48.06429129,62.54074527,48.06429129,48.06429129
ExDO17,01/04/2012 00:00,4,46.84143364,60.94957589,46.84143364,46.84143364
ExDO17,01/04/2013 00:00,4,46.29821009,60.24273917,46.29821009,46.29821009
ExDO17,01/04/2014 00:00,4,45.79202665,59.58409866,45.79202665,45.79202665
ExDO17,01/04/2015 00:00,4,45.39534566,59.06794158,45.39534566,45.39534566
ExDO17,01/04/2016 00:00,4,45.32300184,58.97380856,45.32300184,45.32300184
ExDO17,01/04/2017 00:00,4,45.33133401,58.9846503,45.33133401,45.33133401
ExDO17,01/04/2018 00:00,4,45.36909111,59.03377944,45.36909111,45.36909111
ExDO17,01/04/2019 00:00,4,45.4609265,59.15327466,45.4609265,45.4609265
ExDO17,01/04/2020 00:00,4,45.57467799,59.30128689,45.57467799,45.57467799
ExDO17,01/04/2021 00:00,4,45.68914421,59.45022913,45.68914421,45.68914421
ExDO17,01/04/2022 00:00,4,45.80519711,59.60123592,45.80519711,45.80519711
ExDO17,01/04/2023 00:00,4,45.93067702,59.76450905,45.93067702,45.93067702
ExDO17,01/04/2024 00:00,4,46.07150597,59.94775419,46.07150597,46.07150597
ExDO17,01/04/2025 00:00,4,46.20042691,60.11550474,46.20042691,46.20042691
ExDO17,01/04/2026 00:00,4,46.35811484,60.3206866,46.35811484,46.35811484
ExDO17,01/04/2027 00:00,4,46.49782016,60.50246968,46.49782016,46.49782016
ExDO17,01/04/2028 00:00,4,46.65281265,60.70414427,46.65281265,46.65281265
ExDO17,01/04/2029 00:00,4,46.81507333,60.91527613,46.81507333,46.81507333
ExDO17,01/04/2030 00:00,4,46.97985162,61.1296839,46.97985162,46.97985162
ExDO17,01/04/2031 00:00,4,47.15159993,61.35316097,47.15159993,47.15159993
ExDO17,01/04/2032 00:00,4,47.32343207,61.57674713,47.32343207,47.32343207
ExDO17,01/04/2033 00:00,4,47.4956583,61.80084607,47.4956583,47.4956583
ExDO17,01/04/2034 00:00,4,47.66207251,62.01738248,47.66207251,47.66207251
ExDO17,01/04/2035 00:00,4,47.84541801,62.2559497,47.84541801,47.84541801
ExDO17,01/04/2036 00:00,4,48.02684421,62.49201954,48.02684421,48.02684421
ExDO17,01/04/2037 00:00,4,48.21275626,62.73392631,48.21275626,48.21275626
ExDO17,01/04/2038 00:00,4,48.40075525,62.97854861,48.40075525,48.40075525
ExDO17,01/04/2039 00:00,4,48.58439926,63.21750424,48.58439926,48.58439926
ExDO20,01/04/2011 12:11,4,187.61,236.78,174.6702434,183.4113599
ExDO20,01/04/2012 00:00,4,186.1275,235.835,172.9151826,181.1327835
ExDO20,01/04/2013 00:00,4,184.645,235.16625,171.1601217,178.8542072
ExDO20,01/04/2014 00:00,4,183.1625,234.6921875,169.4050609,176.5756308
ExDO20,01/04/2015 00:00,4,181.68,233,167.65,174.2970544
ExDO20,01/04/2016 00:00,4,181.3,233.16,167.01,173.7764316
ExDO20,01/04/2017 00:00,4,180.88,233.27,166.33,173.2193806
ExDO20,01/04/2018 00:00,4,180.47,233.37,165.66,172.6655246
ExDO20,01/04/2019 00:00,4,180.03,233.45,164.95,172.0840464
ExDO20,01/04/2020 00:00,4,179.6,233.55,164.26,171.5167016
ExDO20,01/04/2021 00:00,4,179.16,233.63,163.57,170.9402477
ExDO20,01/04/2022 00:00,4,178.76,233.76,162.91,170.4026148
ExDO20,01/04/2023 00:00,4,178.38,233.91,162.26,169.8811742
ExDO20,01/04/2024 00:00,4,178.03,234.11,161.65,169.3939992
ExDO20,01/04/2025 00:00,4,177.7,234.3,161.08,168.9363562
ExDO20,01/04/2026 00:00,4,177.47,234.62,160.59,168.5660097
ExDO20,01/04/2027 00:00,4,177.25,234.93,160.11,168.2090158
ExDO20,01/04/2028 00:00,4,177.07,235.31,159.68,167.8957031
ExDO20,01/04/2029 00:00,4,176.92,235.71,159.26,167.6042724
ExDO20,01/04/2030 00:00,4,176.76,236.08,158.85,167.3109645
ExDO20,01/04/2031 00:00,4,176.63,236.5,158.47,167.0498399
ExDO20,01/04/2032 00:00,4,176.49,236.89,158.09,166.7854352
ExDO20,01/04/2033 00:00,4,176.39,237.32,157.74,166.5488731
ExDO20,01/04/2034 00:00,4,176.3,237.77,157.41,166.3335239
ExDO20,01/04/2035 00:00,4,176.18,238.16,157.06,166.0907753
ExDO20,01/04/2036 00:00,4,176.16,238.68,156.79,165.9376713
ExDO20,01/04/2037 00:00,4,176.13,239.18,156.52,165.7800548
ExDO20,01/04/2038 00:00,4,176.12,239.7,156.26,165.6403103
ExDO20,01/04/2039 00:00,4,176.12,240.24,156.03,165.518804
ExDO27,01/04/2011 12:11,4,192.8687797,224.7752391,183.2253408,180.8232027
ExDO27,01/04/2012 00:00,4,192.0999233,223.8476282,182.4949271,180.1141087
ExDO27,01/04/2013 00:00,4,191.357546,222.9338283,181.7896687,179.4303846
ExDO27,01/04/2014 00:00,4,190.6801443,222.0810498,181.1461371,178.806112
ExDO27,01/04/2015 00:00,4,189.8786424,221.1522483,180.3847103,178.0700735
ExDO27,01/04/2016 00:00,4,189.0442672,220.1493059,179.5920539,177.3202472
